Frame: 124, ID: 8, Speed: 3.3 km/h
Frame: 124, ID: 14, Speed: 1.1 km/h
Frame: 124, ID: 16, Speed: 3.0 km/h
Frame: 125, ID: 7, Speed: 17.2 km/h
Frame: 125, ID: 8, Speed: 3.5 km/h
Frame: 125, ID: 14, Speed: 1.2 km/h
Frame: 125, ID: 16, Speed: 3.1 km/h
Frame: 125, ID: 18, Speed: 37.4 km/h
Frame: 126, ID: 7, Speed: 17.9 km/h
Frame: 126, ID: 8, Speed: 3.6 km/h
Frame: 126, ID: 14, Speed: 1.2 km/h
Frame: 126, ID: 16, Speed: 3.0 km/h
Frame: 126, ID: 18, Speed: 34.9 km/h
Frame: 127, ID: 7, Speed: 19.5 km/h
Frame: 127, ID: 8, Speed: 3.6 km/h
Frame: 127, ID: 14, Speed: 1.2 km/h
Frame: 127, ID: 16, Speed: 3.2 km/h
Frame: 127, ID: 18, Speed: 39.8 km/h
Frame: 128, ID: 7, Speed: 21.5 km/h
Frame: 128, ID: 8, Speed: 3.6 km/h
Frame: 128, ID: 14, Speed: 1.2 km/h
Frame: 128, ID: 16, Speed: 3.2 km/h
Frame: 128, ID: 18, Speed: 43.2 km/h
Frame: 129, ID: 7, Speed: 23.1 km/h
Frame: 129, ID: 14, Speed: 1.3 km/h
Frame: 129, ID: 16, Speed: 3.3 km/h
Frame: 129, ID: 18, Speed: 41.5 km/h
Frame: 130, ID: 7, Speed: 24.4 km/h
Frame: 130, ID: 14, Speed: 1.3 km/h
Frame: 130, ID: 16, Speed: 3.4 km/h
Frame: 130, ID: 18, Speed: 41.5 km/h
Frame: 131, ID: 7, Speed: 25.6 km/h
Frame: 131, ID: 8, Speed: 4.3 km/h
Frame: 131, ID: 14, Speed: 1.4 km/h
Frame: 131, ID: 16, Speed: 3.4 km/h
Frame: 131, ID: 18, Speed: 40.7 km/h
Frame: 132, ID: 7, Speed: 25.3 km/h
Frame: 132, ID: 8, Speed: 4.6 km/h
Frame: 132, ID: 14, Speed: 1.6 km/h
Frame: 132, ID: 16, Speed: 3.4 km/h
Frame: 132, ID: 18, Speed: 40.7 km/h
Frame: 133, ID: 7, Speed: 25.3 km/h
Frame: 133, ID: 8, Speed: 4.8 km/h
Frame: 133, ID: 14, Speed: 1.7 km/h
Frame: 133, ID: 16, Speed: 3.3 km/h
Frame: 133, ID: 18, Speed: 39.7 km/h
Frame: 134, ID: 8, Speed: 4.9 km/h
Frame: 134, ID: 14, Speed: 1.7 km/h
Frame: 134, ID: 16, Speed: 3.3 km/h
Frame: 134, ID: 18, Speed: 38.4 km/h
Frame: 135, ID: 8, Speed: 4.9 km/h
Frame: 135, ID: 14, Speed: 1.8 km/h
Frame: 135, ID: 16, Speed: 3.2 km/h
Frame: 135, ID: 18, Speed: 36.3 km/h
Frame: 136, ID: 8, Speed: 5.1 km/h
Frame: 136, ID: 14, Speed: 1.9 km/h
Frame: 136, ID: 16, Speed: 3.1 km/h
Frame: 136, ID: 18, Speed: 35.0 km/h
Frame: 137, ID: 8, Speed: 5.3 km/h
Frame: 137, ID: 14, Speed: 2.0 km/h
Frame: 137, ID: 16, Speed: 3.1 km/h
Frame: 137, ID: 18, Speed: 34.4 km/h
Frame: 138, ID: 8, Speed: 5.5 km/h
Frame: 138, ID: 14, Speed: 2.0 km/h
Frame: 138, ID: 16, Speed: 3.0 km/h
Frame: 138, ID: 18, Speed: 32.8 km/h
Frame: 139, ID: 8, Speed: 5.5 km/h
Frame: 139, ID: 14, Speed: 2.1 km/h
Frame: 139, ID: 16, Speed: 3.0 km/h
Frame: 139, ID: 18, Speed: 31.7 km/h
Frame: 140, ID: 8, Speed: 5.7 km/h
Frame: 140, ID: 14, Speed: 2.2 km/h
Frame: 140, ID: 18, Speed: 30.8 km/h
Frame: 141, ID: 8, Speed: 5.9 km/h
